H;0.9;0.9;0.9
He;0.850;1.000;1.000
Li;0.800;0.501;1.000
Be;0.760784314;1.000;0.000
B;1.00;0.709;0.709
C;0.2;1.0;0.2
N;0.2;0.2;1.0
O;1.0;0.3;0.3
F;0.7019;1.000;1.000
Ne;0.7019;0.890;0.960
Na;0.6705;0.360;0.949
Mg;0.5411;1.000;0.000
Al;0.7490;0.650;0.650
Si;0.9411;0.784;0.627
P;1.0000;0.501;0.000
S;0.9;0.775;0.25
Cl;0.1215;0.941;0.121
Ar;0.5019;0.819;0.890
K;0.5607;0.250;0.831
Ca;0.2392;1.000;0.000
Sc;0.9019;0.901;0.901
Ti;0.7490;0.760;0.780
V;0.6509;0.650;0.670
Cr;0.6509;0.650;0.670
Mn;0.6509;0.650;0.670
Fe;0.6509;0.650;0.670
Co;0.6509;0.650;0.670
Ni;0.6509;0.650;0.670
Cu;0.6509;0.650;0.670
Zn;0.6509;0.650;0.670
Ga;0.6509;0.650;0.670
Ge;0.6509;0.650;0.670
As;0.6509;0.650;0.670
Se;0.6509;0.650;0.670
Br;0.6509;0.650;0.670
Kr;0.6509;0.650;0.670
Rb;0.6509;0.650;0.670
Sr;0.6509;0.650;0.670
Y;0.6509;0.650;0.670
Zr;0.6509;0.650;0.670
Nb;0.6509;0.650;0.670
Mo;0.6509;0.650;0.670
Tc;0.6509;0.650;0.670
Ru;0.6509;0.650;0.670
Rh;0.6509;0.650;0.670
Pd;0.6509;0.650;0.670
Ag;0.6509;0.650;0.670
Cd;0.6509;0.650;0.670
In;0.6509;0.650;0.670
Sn;0.6509;0.650;0.670
Sb;0.6509;0.650;0.670
Te;0.6509;0.650;0.670
I;0.6509;0.650;0.670
Xe;0.6509;0.650;0.670
Cs;0.6509;0.650;0.670
Ba;0.6509;0.650;0.670
La;0.6509;0.650;0.670
Ce;0.6509;0.650;0.670
Pr;0.6509;0.650;0.670
Nd;0.6509;0.650;0.670
Pm;0.6509;0.650;0.670
Sm;0.6509;0.650;0.670
Eu;0.6509;0.650;0.670
Gd;0.6509;0.650;0.670
Tb;0.6509;0.650;0.670
Dy;0.6509;0.650;0.670
Ho;0.6509;0.650;0.670
Er;0.6509;0.650;0.670
Tm;0.6509;0.650;0.670
Yb;0.6509;0.650;0.670
Lu;0.6509;0.650;0.670
Hf;0.6509;0.650;0.670
Ta;0.6509;0.650;0.670
W;0.6509;0.650;0.670
Re;0.6509;0.650;0.670
Os;0.6509;0.650;0.670
Ir;0.6509;0.650;0.670
Pt;0.6509;0.650;0.670
Au;0.6509;0.650;0.670
Hg;0.6509;0.650;0.670
Tl;0.6509;0.650;0.670
Pb;0.6509;0.650;0.670
Bi;0.6509;0.650;0.670
Po;0.6509;0.650;0.670
At;0.6509;0.650;0.670
Rn;0.6509;0.650;0.670
Fr;0.6509;0.650;0.670
Ra;0.6509;0.650;0.670
Ac;0.6509;0.650;0.670
Th;0.6509;0.650;0.670
Pa;0.6509;0.650;0.670
U;0.6509;0.650;0.670
Np;0.6509;0.650;0.670
Pu;0.6509;0.650;0.670
Am;0.6509;0.650;0.670
Cm;0.6509;0.650;0.670
Bk;0.6509;0.650;0.670
Cf;0.6509;0.650;0.670
Es;0.6509;0.650;0.670
Fm;0.6509;0.650;0.670
Md;0.6509;0.650;0.670
No;0.6509;0.650;0.670
Lr;0.6509;0.650;0.670
Rf;0.6509;0.650;0.670
Db;0.6509;0.650;0.670
Sg;0.6509;0.650;0.670
Bh;0.6509;0.650;0.670
Hs;0.6509;0.650;0.670
Mt;0.6509;0.650;0.670
